id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
1125038,f1d0a90b-fc16-45e6-a68e-2f61fa094e2f,"December 10, 2014 02:02",2014-12-10,2014-12-09 18:02:00 UTC,Singapore,31576,techieoldfox,Jonathan Hiew,2014-12-10 21:52:55 UTC,2023-08-24 01:38:00 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/1125038,https://inaturalist-open-data.s3.amazonaws.com/photos/1414322/medium.JPG,,"","Api Api Puteh, Avicennia alba",1,0,false,,"North, SG",1.4438629,103.735573,,,,,,,open,false,,"",Avicennia alba,Avicennia alba,,Plantae,189583
6977889,5805fd79-6e00-4d29-b18d-f805f2c0aba2,2017/07/04 11:19 AM PDT,2017-07-04,2017-07-04 18:19:00 UTC,Pacific Time (US & Canada),220795,neontetraploid,Steven Kurniawidjaja,2017-07-09 06:41:45 UTC,2024-04-30 15:16:16 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6977889,https://inaturalist-open-data.s3.amazonaws.com/photos/8929002/medium.jpeg,,"",,1,0,false,,"301 Neo Tiew Cres, Singapore 718925",1.4467195,103.7301489,163,,,,163,,open,false,,,Avicennia alba,Avicennia alba,,Plantae,189583
9119111,535494ea-ccb6-42fe-95b9-f86442ef94a9,Mon Dec 11 2017 08:39:48 GMT+0700 (GMT+7),2017-12-11,2017-12-11 01:39:48 UTC,Bangkok,728633,sunisa,,2017-12-11 02:43:48 UTC,2017-12-11 04:22:38 UTC,needs_id,,https://www.inaturalist.org/observations/9119111,https://static.inaturalist.org/photos/12321886/medium.jpg,,"",,0,0,false,3,"อ.ท่าใหม่, อ.ท่าใหม่, จันทบุรี, TH",12.5719466667,101.9001533333,10,,,,10,,,false,,,,Avicennia alba,,Plantae,189583
9121109,a9fb03c6-0d7c-4afc-89ec-ba994c3d14d8,2017-12-11 8:44:54 AM GMT+07:00,2017-12-11,2017-12-11 01:44:54 UTC,Bangkok,728680,luksika,Luksika Chaiya,2017-12-11 05:51:15 UTC,2017-12-11 05:52:26 UTC,needs_id,,https://www.inaturalist.org/observations/9121109,https://static.inaturalist.org/photos/12324586/medium.jpeg,,"",,0,0,false,2,"Unnamed Road, Tambon Khlong Khut, Amphoe Tha Mai, Chang Wat Chanthaburi 22120, Thailand",12.5719849253,101.9001581613,14,,,,14,,,false,,,Avicennia alba,Avicennia alba,,Plantae,189583
15969598,47122863-e1f5-4e84-b8ce-f076f98bb248,2018-08-28 8:30:37 AM SGT,2018-08-28,2018-08-28 00:30:37 UTC,Singapore,44170,gancw1,Cheongweei Gan,2018-08-28 09:33:10 UTC,2023-09-13 07:18:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/15969598,https://inaturalist-open-data.s3.amazonaws.com/photos/23904464/medium.jpeg,,"","",5,0,false,2,Pulau Semakau,1.204292,103.759247,262,,,,262,,open,false,gps,manual,Avicennia alba,Avicennia alba,,Plantae,189583
28225460,ec311314-8190-496a-bd12-abf289815ba7,2019/07/05 7:37 AM +08,2019-07-05,2019-07-04 23:37:00 UTC,Singapore,45181,budak,budak,2019-07-05 12:16:53 UTC,2019-07-05 12:16:53 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/28225460,https://inaturalist-open-data.s3.amazonaws.com/photos/43984298/medium.jpg,,"",,0,0,false,,"Chek Jawa Trail, Singapore",1.4087305,103.9910305,237,,,,237,,open,false,,,Avicennia alba,Avicennia alba,,Plantae,189583
31027007,707f29cd-f184-4d20-ba11-93f42b46ce44,Sun Aug 04 2019 10:17:12 GMT+0800 (GMT+8),2019-08-04,2019-08-04 02:17:12 UTC,Perth,1556910,treefroggo,,2019-08-18 01:03:12 UTC,2025-05-14 06:15:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/31027007,https://inaturalist-open-data.s3.amazonaws.com/photos/48516875/medium.jpg,,"",,2,0,false,3,"Sungei Buloh Wetland Reserve, Lim Chu Kang, Singapore, SG",1.4465244094,103.7308531388,238,,,,238,,open,false,,,Avicennia alba,Avicennia alba,,Plantae,189583
32259866,0b957897-1e2d-4e5e-85b3-0f43e1a7f1a7,2018/08/10 9:51 AM WIB,2018-08-10,2018-08-10 02:51:00 UTC,Jakarta,1309119,abuhamas,Abu Hamas,2019-09-07 10:44:19 UTC,2020-12-18 07:26:57 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32259866,https://inaturalist-open-data.s3.amazonaws.com/photos/50582048/medium.jpg,,"","Mangrove of Jakarta Bay
Twig with inflorescences",2,0,false,,"Segarajaya, Tarumajaya, Bekasi, West Java, Indonesia",-6.0809953466,107.0013697437,10,,,,10,,open,false,,,Avicennia alba,Avicennia alba,,Plantae,189583
32754303,b43eb163-e45b-4a50-bac2-edaf90775dc8,2018/12/27 2:22 PM GMT,2018-12-27,2018-12-27 14:22:00 UTC,Edinburgh,1438572,ed_shaw,,2019-09-15 10:35:00 UTC,2024-04-30 15:15:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/32754303,https://inaturalist-open-data.s3.amazonaws.com/photos/51395671/medium.jpeg,,"",,1,0,false,,"Lim Chu Kang, Singapore",1.4474255169,103.7300040079,82,,,,82,,open,false,,,Avicennia alba,Avicennia alba,,Plantae,189583
35731063,307220a0-6a4b-44aa-88de-fd7443b3e546,2006/02/02 10:38 AM +0800,2006-02-02,2006-02-02 02:38:00 UTC,Kuala Lumpur,1043349,johnhowes,John Howes,2019-11-16 08:09:00 UTC,2024-08-23 16:41:03 UTC,research,CC-BY,https://www.inaturalist.org/observations/35731063,https://inaturalist-open-data.s3.amazonaws.com/photos/56376364/medium.jpeg,,"",,1,0,false,,"45400 Sabak, Selangor, Malaysia",3.768891141,100.8723748639,244,,,,244,,open,false,,,Avicennia alba,Avicennia alba,,Plantae,189583
