id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
13065053,1942d853-8895-4a3a-aa6a-9647c3d58b1e,Thu May 31 2018 16:12:55 GMT+0800 (GMT+8),2018-05-31,2018-05-31 08:12:55 UTC,Perth,762057,claytonleaf,,2018-06-03 02:58:29 UTC,2022-06-03 01:24:11 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/13065053,https://inaturalist-open-data.s3.amazonaws.com/photos/19025376/medium.jpg,,"",Sarawak ,1,0,false,3,", , , ",1.7217466667,110.4461666667,5,,,,5,,,false,,,Calophyllum lanigerum,Calophyllum lanigerum,,Plantae,425536
35398979,e42da63b-f78f-4893-9f8d-1fa78c932454,2013/07/02 8:12 AM EDT,2013-07-02,2013-07-02 12:12:00 UTC,Eastern Time (US & Canada),30753,rhondaridley,Rhonda Ridley,2019-11-07 04:44:23 UTC,2024-04-25 16:31:51 UTC,needs_id,CC-BY-SA,https://www.inaturalist.org/observations/35398979,https://inaturalist-open-data.s3.amazonaws.com/photos/55813097/medium.jpeg,,"",,1,0,false,,"Sarawak, Malaysia",1.7166667,110.4666667,3487,,,,3487,,,false,,,Calophyllum lanigerum,Calophyllum lanigerum,,Plantae,425536
38457196,96934e57-b9e7-46e2-92dc-6f7f06b8b133,2020/02/07 2:24 PM UTC,2020-02-07,,UTC,2535875,usebcm,"",2020-02-09 08:02:14 UTC,2020-02-09 08:02:14 UTC,needs_id,,https://www.inaturalist.org/observations/38457196,https://inaturalist-open-data.s3.amazonaws.com/photos/61122021/medium.jpg,,"",,0,0,false,,"Central Water Catchment NS, Singapore",1.4042465188,103.7894553487,656,,,,656,,,false,,,Calophyllum lanigerum,Calophyllum lanigerum,,Plantae,425536
58504289,96b9361d-c038-4a5a-bf55-bd0cddd54af8,Fri Sep 04 2020 09:44:33 GMT+0800 (GMT+8),2020-09-04,2020-09-04 01:44:33 UTC,Perth,2535875,usebcm,"",2020-09-04 14:13:01 UTC,2024-01-04 18:32:11 UTC,research,,https://www.inaturalist.org/observations/58504289,https://inaturalist-open-data.s3.amazonaws.com/photos/93411163/medium.jpg,,"",,1,0,false,3,"Night Safari, Singapore, Singapore, SG",1.4036276378,103.7866208051,10,,,,10,,,false,,,Calophyllum lanigerum,Calophyllum lanigerum,,Plantae,425536
109356514,cd425c11-53ec-4c0c-bd86-bfae9f8de9d6,2021/11/23 8:42 AM +0800,2021-11-23,2021-11-23 00:42:00 UTC,Kuala Lumpur,1829749,cclborneo,Chien Lee,2022-03-24 08:27:27 UTC,2022-03-24 08:27:27 UTC,needs_id,,https://www.inaturalist.org/observations/109356514,https://static.inaturalist.org/photos/184298784/medium.jpg,,"","",0,0,false,,"Bako, Kuching, Sarawak, Malaysia",1.724035,110.4565966667,,,,,,,,false,,,Calophyllum lanigerum,Calophyllum lanigerum,,Plantae,425536
132119092,49136736-870d-4cf6-b2d0-ee5653ebf279,2022-08-21 10:14:54,2022-08-21,2022-08-21 02:14:54 UTC,Asia/Kuching,1781642,calebcatto,Caleb Catto,2022-08-24 10:02:16 UTC,2022-08-24 11:48:56 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/132119092,https://inaturalist-open-data.s3.amazonaws.com/photos/224945062/medium.jpeg,,"",,1,0,false,2,"Kuching, Sarawak, Malaysia",1.722725,110.4488055556,,,,,,,,false,gps,gps,Calophyllum lanigerum,Calophyllum lanigerum,,Plantae,425536
166210513,46a5e762-032c-4836-8ac0-d06dcea9bbbb,2023-06-06 15:17:49+08:00,2023-06-06,2023-06-06 07:17:49 UTC,Singapore,481172,stephanie1120,Stephanie Lyon,2023-06-08 08:50:38 UTC,2023-08-29 16:49:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/166210513,https://inaturalist-open-data.s3.amazonaws.com/photos/287805399/medium.jpg,,"","",2,0,false,3,"Singapore Botanic Gardens, SG",1.3135616667,103.8162466667,4,,,,4,,,false,,,Calophyllum lanigerum austrocoriaceum,Calophyllum lanigerum austrocoriaceum,,Plantae,1485593
175597381,2acb01dd-ea86-4bb7-8314-acd2b16c182b,2023/07/28,2023-07-28,,Singapore,5898656,scallions,"",2023-07-29 19:29:22 UTC,2024-11-09 18:39:42 UTC,research,CC-BY,https://www.inaturalist.org/observations/175597381,https://inaturalist-open-data.s3.amazonaws.com/photos/305179626/medium.jpeg,,"","Assuming the ID is correct, **#2** on [this paper](https://www.jstor.org/stable/2387158)’s list of the 11 most common tree species in the SBG rainforest as of 1996.",1,0,false,,"Tanglin, Singapore",1.3141972222,103.8160638889,4,,,,4,,,false,,,Calophyllum lanigerum austrocoriaceum,Calophyllum lanigerum austrocoriaceum,,Plantae,1485593
194895130,a6063c70-3662-43e4-a799-3ae61bb358b8,2023-12-02 16:18:40,2023-12-02,2023-12-02 08:18:40 UTC,Singapore,4063353,gavin_n,Gawain,2023-12-26 15:27:30 UTC,2023-12-26 15:57:54 UTC,research,CC0,https://www.inaturalist.org/observations/194895130,https://inaturalist-open-data.s3.amazonaws.com/photos/342714074/medium.jpeg,,"",,1,0,false,2,"Central Water Catchment, Singapore",1.3436135956,103.8215236366,11,,,,11,,,false,,,Calophyllum lanigerum austrocoriaceum,Calophyllum lanigerum austrocoriaceum,,Plantae,1485593
225684240,3bb0f7e8-7b05-446e-8e83-ce0eeba441ba,2024-06-02 14:36:54,2024-06-02,2024-06-02 06:36:54 UTC,Singapore,4063353,gavin_n,Gawain,2024-06-28 09:37:31 UTC,2024-06-28 12:23:04 UTC,research,CC0,https://www.inaturalist.org/observations/225684240,https://inaturalist-open-data.s3.amazonaws.com/photos/400164006/medium.jpeg,,"",Growing in the preserved primary rainforest section,2,0,false,2,"Tanglin, Singapore",1.3141963362,103.8161347434,13,,,,13,,,false,gps,gps,Calophyllum lanigerum,Calophyllum lanigerum,,Plantae,425536
