id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
551900,ce4201af-11d8-4b9c-a4e8-042efd7ad495,"December 24, 2013 14:03",2013-12-24,2013-12-24 06:03:00 UTC,Singapore,31576,techieoldfox,Jonathan Hiew,2014-03-04 06:36:11 UTC,2025-04-01 19:47:09 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/551900,https://inaturalist-open-data.s3.amazonaws.com/photos/704011/medium.jpg,,"","Tongkat Ali, Eurycoma longifolia",1,0,false,,Singapore,1.316411,103.817289,,,,,,,,false,,"",Eurycoma longifolia,Eurycoma longifolia,,Plantae,344197
6258569,0e3d5a2f-115b-4ea8-9551-e5987accee99,2017-04-11 12:05:54 PM GMT+08:00,2017-04-11,2017-04-11 04:05:54 UTC,Australia/Perth,448288,dingkang,Kang Lim,2017-05-18 13:48:12 UTC,2017-11-09 05:06:42 UTC,needs_id,,https://www.inaturalist.org/observations/6258569,https://static.inaturalist.org/photos/7870938/medium.jpeg,,"","Eurycoma longifolia is known by common name ""tongkat ali"" in South East Region such as Malaysia.",0,0,false,2,"1112, Persiaran Sains 11800 Gelugor Pulau Pinang",5.3558497011,100.300663635,115,,,,115,,,false,gps,gps,Eurycoma longifolia,Eurycoma longifolia,,Plantae,344197
9831451,99b6b8e3-7b56-4068-b79a-7a038f14d3fd,2013-04-27,2013-04-27,,Pacific Time (US & Canada),742725,jasonalexander,Jason Alexander,2018-02-12 03:06:14 UTC,2018-10-24 18:11:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/9831451,https://inaturalist-open-data.s3.amazonaws.com/photos/13462219/medium.jpeg,,"",,1,0,false,,"Jawa Barat, Indonesia",-6.8541873909,107.634727997,,,,,,,,false,,,Eurycoma longifolia,Eurycoma longifolia,,Plantae,344197
11892594,92ac0eb5-4553-44d2-af82-4030c6e12357,2018-04-29 10:34:00 p.m. GMT+08:00,2018-04-29,2018-04-29 14:34:00 UTC,Australia/Perth,904775,aiqal,"",2018-04-30 16:44:44 UTC,2018-08-29 11:46:26 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/11892594,https://inaturalist-open-data.s3.amazonaws.com/photos/17023520/medium.jpg,,"",,0,0,false,2,"Mines Wellness City, 43300 Seri Kembangan, Selangor, Malaysia",3.0367217877,101.7252632976,344,,,,344,,,false,gps,gps,tongkat ali,Eurycoma longifolia,,Plantae,344197
18733987,43533a00-9e48-4d14-8107-379525b83087,2014/03/21 12:13 PM UTC,2014-03-21,2014-03-21 12:13:00 UTC,UTC,1259545,survival,,2018-11-30 14:27:05 UTC,2019-06-20 00:12:08 UTC,research,,https://www.inaturalist.org/observations/18733987,https://static.inaturalist.org/photos/28685220/medium.jpg,,"",,1,0,false,,"Rambai, Brunei",4.587967895,114.6795960738,2122,,,,2122,,,false,,,Eurycoma longifolia,Eurycoma longifolia,,Plantae,344197
20277236,ebcecd5a-021f-4af9-b345-54d21aa4253f,2018/09/26 11:52 AM CST,2018-09-26,2018-09-26 16:52:00 UTC,Central Time (US & Canada),386262,kinmatsu,Kinmatsu Lin,2019-02-11 09:45:42 UTC,2023-01-18 10:14:14 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/20277236,https://inaturalist-open-data.s3.amazonaws.com/photos/31301847/medium.jpg,,"",,1,0,false,,"Bahagian Miri, Sarawak, 馬來西亞",3.4278843229,115.1473016296,197,,,,197,,,false,,,Eurycoma longifolia,Eurycoma longifolia,,Plantae,344197
20278039,f2792f57-4af3-492b-9b1b-11384004b382,2005/12/27 3:13 PM CET,2005-12-27,2005-12-27 14:13:00 UTC,Berlin,59856,nasserhalaweh,Nasser Halaweh,2019-02-11 11:29:27 UTC,2019-03-06 11:44:49 UTC,research,CC-BY,https://www.inaturalist.org/observations/20278039,https://inaturalist-open-data.s3.amazonaws.com/photos/31303417/medium.jpeg,,Simaroubaceae,Eurycoma longifolia TONGKAT ALI,1,0,false,,"Perdana Botanical Gardens, Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1436522984,101.6843814348,458,,,,458,,,false,,,Eurycoma longifolia,Eurycoma longifolia,,Plantae,344197
21322223,70b8be74-a835-4481-b17a-2b2c98f6db21,2019-03-15 10:31:48 am GMT+08:00,2019-03-15,2019-03-15 02:31:48 UTC,Kuala Lumpur,890554,ongzi,Ong Jyh Seng,2019-03-17 16:40:44 UTC,2019-03-22 04:57:00 UTC,research,CC-BY-SA,https://www.inaturalist.org/observations/21322223,https://inaturalist-open-data.s3.amazonaws.com/photos/32974483/medium.jpeg,,"",,1,0,false,2,"Jalan Keliling, Seremban, 70100 Seremban, Negeri Sembilan, Malaysia",2.7230392098,101.9460671023,263,,,,263,,,false,gps,gps,Eurycoma longifolia,Eurycoma longifolia,,Plantae,344197
22067446,ed7160b0-f2c0-4f7f-837e-4203dfed07f6,2019-04-06 10:51:45 am GMT+08:00,2019-04-06,2019-04-06 02:51:45 UTC,Australia/Perth,1582451,marychan55,"",2019-04-06 03:11:04 UTC,2019-04-26 12:05:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22067446,https://inaturalist-open-data.s3.amazonaws.com/photos/34174852/medium.jpeg,,"","Found in Rimb Ilmu, University Malaya. ",1,0,false,2,"Sistem Penyuraian Trafik Kuala Lumpur Barat, 50603 Kuala Lumpur, Wilayah Persekutuan Kuala Lumpur, Malaysia",3.128330946,101.6614685059,,,,,,,,false,gps,gps,Eurycoma longifolia,Eurycoma longifolia,,Plantae,344197
22871088,6cc71a93-a818-4fba-9be6-03c488bdc78d,Sat Apr 20 2019 14:27:50 GMT+0800 (GMT+8),2019-04-20,2019-04-20 06:27:50 UTC,Kuala Lumpur,1288792,hamrish_singh,Hamrish Singh,2019-04-22 08:09:51 UTC,2019-04-22 08:10:16 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/22871088,https://inaturalist-open-data.s3.amazonaws.com/photos/35451877/medium.jpg,,"",,0,0,false,3,"Titi Tinggi, Titi Tinggi, Perlis, MY",6.69965,100.1981883333,5,,,,5,,,false,,,,Eurycoma longifolia,,Plantae,344197
