id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
14782999,ad7a94fa-82bc-42ac-bfeb-cac266a96159,2014/06/14 3:34 PM NZST,2014-06-14,2014-06-14 03:34:00 UTC,Wellington,226796,andymckay,Andy McKay,2018-07-27 11:14:54 UTC,2025-03-03 16:59:57 UTC,research,CC-BY,https://www.inaturalist.org/observations/14782999,https://inaturalist-open-data.s3.amazonaws.com/photos/22061189/medium.jpeg,,"",,1,0,false,,"Sarawak, Malaysia",1.7166667,110.4666667,3487,,,,3487,,,false,,,Joey Palm,Johannesteijsmannia altifrons,Joey Palm,Plantae,344185
19035765,918873df-1e3a-4929-b58d-655a6d1f0a64,Wed Aug 08 2018 05:35:33 GMT+0200 (GMT+2),2018-08-08,2018-08-08 03:35:33 UTC,Africa/Johannesburg,1391973,tom_argentopratus,Thomas Silberfeld,2018-12-15 21:51:33 UTC,2020-02-22 21:57:20 UTC,research,,https://www.inaturalist.org/observations/19035765,https://static.inaturalist.org/photos/29196740/medium.jpg,,"","",1,0,false,3,"Sarawak, MY",1.7929272706,110.4121616162,878,,,,31444,obscured,,true,,,Johannesteijsmannia altifrons,Johannesteijsmannia altifrons,Joey Palm,Plantae,344185
38010953,47d4c1cb-8827-4b47-9195-b5bc0c5e183e,2014/12/31 2:07 PM +0800,2014-12-31,2014-12-31 06:07:00 UTC,Kuala Lumpur,1829749,cclborneo,Chien Lee,2020-01-27 01:59:20 UTC,2021-03-13 01:42:59 UTC,research,,https://www.inaturalist.org/observations/38010953,https://static.inaturalist.org/photos/60347726/medium.jpg,,"Arecales, Borneo, East Malaysia, Liliopsida, Malaysia, Palmae, Sarawak, Southeast Asia, flora, monocot, monocotyledon, palm, plant, tropical","",1,0,false,,"Bako, Kuching, Sarawak, Malaysia",1.72049,110.45454,,,,,,,,false,,,Johannesteijsmannia altifrons,Johannesteijsmannia altifrons,Joey Palm,Plantae,344185
86916225,b38d4a14-29b1-4443-aaa3-0b8450b72978,2014-09-29 06:29:19,2014-09-29,2014-09-29 16:29:19 UTC,Hawaii,4487,berniedup,Bernard DUPONT,2021-07-13 22:41:33 UTC,2021-07-14 04:01:07 UTC,research,,https://www.inaturalist.org/observations/86916225,https://inaturalist-open-data.s3.amazonaws.com/photos/143267338/medium.jpg,,"Bako, Borneo, Crocodile Tail Palm, Lintang, Malaysia, Palm, Palmaceae, Sarawak, Johannesteijsmannia altifrons, Taxonomy:binomial=Johannesteijsmannia altifrons, Crocodile Tail Palm (Johannesteijsmannia altifrons)","Lintang Trail, Bako NP, Sarawak, MALAYSIA",2,0,false,,"Lintang Trail, Bako NP, Kuching, Sarawak, Malaysia",1.717429,110.456628,,,,,,,,false,,"",Johannesteijsmannia altifrons,Johannesteijsmannia altifrons,Joey Palm,Plantae,344185
132123053,e0a3b899-95b6-4186-8ab9-ed023391b093,2022-08-21 11:26:48,2022-08-21,2022-08-21 03:26:48 UTC,Asia/Kuching,1781642,calebcatto,Caleb Catto,2022-08-24 11:07:09 UTC,2022-09-29 11:54:05 UTC,research,CC-BY,https://www.inaturalist.org/observations/132123053,https://inaturalist-open-data.s3.amazonaws.com/photos/224951833/medium.jpeg,,"",,1,0,false,2,"Kuching, Sarawak, Malaysia",1.71995,110.4531083333,,,,,,,,false,gps,gps,Johannesteijsmannia altifrons,Johannesteijsmannia altifrons,Joey Palm,Plantae,344185
142733396,918a13f4-1ef7-4449-9ee8-fec56fa118f0,2022/09/19 10:06 AM,2022-09-19,2022-09-19 02:06:00 UTC,Kuala Lumpur,3772847,lunarjade,"",2022-11-24 07:34:58 UTC,2022-11-24 07:49:58 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/142733396,https://inaturalist-open-data.s3.amazonaws.com/photos/244760114/medium.jpg,,"",,0,0,false,,"Jalan Taman Negeri Rompin Selendang, 26800 Kuala Rompin, Pahang, Malaysia",2.6228482,103.332283,220,,,,220,,,false,,,Joey Palm,Johannesteijsmannia altifrons,Joey Palm,Plantae,344185
144414683,b4c365db-adb6-480f-b98d-13500d17c61b,2022-12-09 12:46:25+08:00,2022-12-09,2022-12-09 04:46:25 UTC,Asia/Kuching,3148838,emilythewild,Em Blackburn,2022-12-15 12:22:14 UTC,2025-03-03 17:00:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/144414683,https://inaturalist-open-data.s3.amazonaws.com/photos/247853442/medium.jpg,,Borneo,"",1,0,false,3,"Borneo, Kuching, Sarawak, MY",1.613345,110.1868133333,4,,,,4,,,false,,"",Joey Palm,Johannesteijsmannia altifrons,Joey Palm,Plantae,344185
144978624,92ebc319-935c-44f2-b0b0-05eef6cef55f,2022-12-24 08:50:30,2022-12-24,2022-12-24 00:50:30 UTC,Kuala Lumpur,5299628,larsmannzen,Lars Mannzen,2022-12-24 11:16:18 UTC,2022-12-24 14:36:19 UTC,needs_id,,https://www.inaturalist.org/observations/144978624,https://static.inaturalist.org/photos/248952463/medium.jpeg,,"",Spiny edges of fronds unlike Licuala sp.,0,0,false,2,"Mersing, MY-JH, MY",2.31849612,103.64090636,7,,,,7,,,false,,,Johannesteijsmannia altifrons,Johannesteijsmannia altifrons,Joey Palm,Plantae,344185
149893990,286610bb-61d8-42f0-b01b-4fd3f8e46e70,2023-02-27 14:09:20+08:00,2023-02-27,2023-02-27 06:09:20 UTC,Asia/Kuching,2148389,tomashovorka,Tomáš Hovorka,2023-02-28 10:19:32 UTC,2024-04-30 09:34:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/149893990,https://inaturalist-open-data.s3.amazonaws.com/photos/258365109/medium.jpg,,"","",1,0,false,3,"Bako National Park, Kuching, Sarawak, MY",1.7197864945,110.4524276073,372,,,,372,,,false,,,Joey Palm,Johannesteijsmannia altifrons,Joey Palm,Plantae,344185
155690486,95546440-e346-44be-bf34-96c5a9b87b65,2023-04-18 10:13:44,2023-04-18,2023-04-18 02:13:44 UTC,Asia/Kuching,56784,fordk,Kerry Ford,2023-04-20 01:44:22 UTC,2025-03-03 17:00:25 UTC,research,,https://www.inaturalist.org/observations/155690486,https://static.inaturalist.org/photos/269153755/medium.jpeg,,"",,1,0,false,2,"Kuching, Sarawak, Malaysia",1.7191666667,110.4533333333,,,,,,,,false,gps,gps,Johannesteijsmannia altifrons,Johannesteijsmannia altifrons,Joey Palm,Plantae,344185
