id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
9082150,b5a7574c-5b84-4528-88cb-5d55e79a1026,2017/09/14 7:28 PM EDT,2017-09-14,2017-09-14 23:28:00 UTC,Eastern Time (US & Canada),110005,paul_prior,Paul Prior,2017-12-07 23:15:41 UTC,2025-07-15 19:35:43 UTC,research,CC-BY,https://www.inaturalist.org/observations/9082150,https://inaturalist-open-data.s3.amazonaws.com/photos/12265040/medium.jpeg,,"","",1,0,false,,"Sandakan, MY-SA, MY",5.8979300041,117.8836956508,2489,,,,31368,,obscured,true,,,Koompassia excelsa,Koompassia excelsa,,Plantae,348093
10337088,8f6a0eed-fbdb-464a-937f-aa6385c0b660,2018-03-21 12:16:59 pm GMT+08:00,2018-03-21,2018-03-21 04:16:59 UTC,Australia/Perth,682750,jimhesnen,Najmi Ayob,2018-03-21 04:20:08 UTC,2018-03-21 04:20:28 UTC,needs_id,,https://www.inaturalist.org/observations/10337088,https://static.inaturalist.org/photos/14331973/medium.jpeg,,"",,0,0,false,2,Malaysia,3.0207194405,101.6828724857,7,,,,31428,,obscured,true,,,Koompassia excelsa,Koompassia excelsa,,Plantae,348093
11728263,0721d2e4-3b2d-40e1-b51e-b5925a7f1b17,2018-04-29 5:39:46 pm GMT+08:00,2018-04-29,2018-04-29 09:39:46 UTC,Australia/Perth,682750,jimhesnen,Najmi Ayob,2018-04-29 09:52:31 UTC,2018-04-29 09:54:15 UTC,needs_id,,https://www.inaturalist.org/observations/11728263,https://static.inaturalist.org/photos/16770440/medium.jpeg,,"",,0,0,false,2,Malaysia,3.0191379407,101.649307869,9,,,,31428,,obscured,true,,,Koompassia excelsa,Koompassia excelsa,,Plantae,348093
11825931,504c3dcc-9095-4d53-96ca-f621c42a2074,2018-04-30 9:18:42 am GMT+08:00,2018-04-30,2018-04-30 01:18:42 UTC,Australia/Perth,863875,snnmusa,Najihah Musa,2018-04-30 01:19:55 UTC,2018-04-30 01:20:06 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/11825931,https://inaturalist-open-data.s3.amazonaws.com/photos/16919714/medium.jpeg,,"",Tualang,0,0,false,2,Malaysia,3.1147418254,101.6983329406,9,,,,31428,,obscured,true,,,Koompassia excelsa,Koompassia excelsa,,Plantae,348093
20607623,39adfa4b-982a-4015-adfd-91e3bae98fae,2019-02-23 2:44:47 PM GMT+08:00,2019-02-23,2019-02-23 06:44:47 UTC,Australia/Perth,1471295,leeqizhengzz,QZ,2019-02-23 06:46:13 UTC,2019-02-23 06:46:50 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/20607623,https://inaturalist-open-data.s3.amazonaws.com/photos/31802010/medium.jpeg,,"",,0,0,false,2,Malaysia,5.4030121492,100.2524255834,2,,,,31379,,obscured,true,,,Koompassia excelsa,Koompassia excelsa,,Plantae,348093
20629269,05e1923d-7a44-4c09-bdd5-db1a403fccf1,2019-02-23 5:42:00 PM GMT+08:00,2019-02-23,2019-02-23 09:42:00 UTC,Australia/Perth,1489682,femi1,Femi Chee,2019-02-23 09:42:35 UTC,2019-02-23 09:42:56 UTC,needs_id,,https://www.inaturalist.org/observations/20629269,https://static.inaturalist.org/photos/31827490/medium.jpeg,,"",,0,0,false,2,Malaysia,5.4786207545,100.3133797005,12,,,,31379,,obscured,true,,,Koompassia excelsa,Koompassia excelsa,,Plantae,348093
22507406,f3d9fbcc-24f1-4723-aa8b-14423e642bb8,2019-04-06T15:38,2019-04-06,2019-04-06 05:38:00 UTC,Sydney,196849,questagame,QuestaGame,2019-04-15 09:46:05 UTC,2019-04-21 13:06:29 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/22507406,https://inaturalist-open-data.s3.amazonaws.com/photos/34869836/medium.jpg,,"","Sighting and photos (c) hollyb.
",0,0,false,111,"Jerantut, MY-PH, MY",4.4909098182,102.243550215,,,,,31403,,obscured,true,,,Id Please,Koompassia excelsa,,Plantae,348093
29383089,79eb09d5-5d06-43ff-a36e-9ceebfd8e191,2016/04/23 4:07 PM CST,2016-04-23,2016-04-23 08:07:00 UTC,Taipei,386262,kinmatsu,Kinmatsu Lin,2019-07-23 15:18:18 UTC,2025-07-15 19:39:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/29383089,https://inaturalist-open-data.s3.amazonaws.com/photos/45853434/medium.jpg,,"",,1,0,false,,"Sandakan, MY-SA, MY",5.8087015707,117.8060881112,200,,,,31368,,obscured,true,,,Koompassia excelsa,Koompassia excelsa,,Plantae,348093
30309055,7a8b439f-6fa7-4d3b-b4a3-8b0b23f72611,2013/09/14 6:53 PM BST,2013-09-14,2013-09-14 17:53:00 UTC,Edinburgh,1767154,ml_ls,"",2019-08-06 14:36:31 UTC,2019-08-11 23:11:35 UTC,research,CC-BY,https://www.inaturalist.org/observations/30309055,https://inaturalist-open-data.s3.amazonaws.com/photos/47342932/medium.jpeg,,"",Tapang - with bamboo ladder,1,0,false,,"Sarawak, MY",1.404967737,110.3988906538,,,,,31446,,obscured,true,,,Koompassia excelsa,Koompassia excelsa,,Plantae,348093
35217848,710ca880-503f-4baf-8142-3b99f113246a,Sat Oct 19 2019 18:39:29 GMT-0600 (MDT),2019-10-19,2019-10-20 00:39:29 UTC,Mountain Time (US & Canada),2247770,jasheridan,"",2019-11-02 23:23:06 UTC,2019-11-02 23:23:31 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/35217848,https://inaturalist-open-data.s3.amazonaws.com/photos/55510227/medium.jpg,,"",,0,0,false,3,"Sabah, MY",4.8693992414,117.9612530027,12187,,,,31394,,obscured,true,,,,Koompassia excelsa,,Plantae,348093
