id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
31390427,ff1827e2-a130-4bdd-9b40-cab7fd0140e7,2019/08/15 5:34 PM +08,2019-08-15,2019-08-15 09:34:00 UTC,Kuala Lumpur,1542803,safwanah,Safwanah Safwan,2019-08-24 08:32:59 UTC,2021-01-04 16:45:14 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/31390427,https://inaturalist-open-data.s3.amazonaws.com/photos/49125435/medium.jpeg,,"","Common Name Kempas
Fabaceae",0,0,false,,"Negeri Sembilan, MY",2.969395226,102.223267363,,,,,31431,,obscured,true,,,Kompassia malaccensis,Koompassia malaccensis,,Plantae,347832
89316411,7e1de4c2-40b7-4941-99f2-4f5ca29dc458,2021/07/31 5:15 AM +0800,2021-07-31,2021-07-30 21:15:00 UTC,Singapore,987748,kangmin,,2021-07-31 13:47:19 UTC,2024-10-15 11:52:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/89316411,https://inaturalist-open-data.s3.amazonaws.com/photos/147482977/medium.jpeg,,"","",1,0,false,,,1.3769079171,103.8126016799,207,,,,31447,,obscured,true,,,Koompassia malaccensis,Koompassia malaccensis,,Plantae,347832
109139402,c1c98399-1941-438c-8ff0-5b4cad6ca50d,2022/02/05 9:46 pagi WIB,2022-02-05,2022-02-05 02:46:00 UTC,Jakarta,1230635,haniristiawan,Hani Ristiawan,2022-03-21 13:07:30 UTC,2022-03-21 13:07:30 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/109139402,https://inaturalist-open-data.s3.amazonaws.com/photos/183888891/medium.jpeg,,"","",0,0,false,,"Kalimantan Barat, ID",0.1536782396,111.122677039,8284,,,,31451,obscured,obscured,true,,,Koompassia malaccensis,Koompassia malaccensis,,Plantae,347832
127062474,e5edc40a-d52c-4223-aaca-fb7fa53959c3,2022-07-20 12:27:56,2022-07-20,2022-07-20 05:27:56 UTC,Jakarta,155951,tom-kirschey,Tom Kirschey,2022-07-20 07:48:13 UTC,2025-01-28 13:27:47 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/127062474,https://inaturalist-open-data.s3.amazonaws.com/photos/215670807/medium.jpeg,,"",,0,0,false,2,"Pelalawan, ID-RI, ID",0.2620414506,102.7291695309,,,,,31451,,obscured,true,gps,gps,Koompassia malaccensis,Koompassia malaccensis,,Plantae,347832
158124156,1e7a3891-736c-45fd-931a-73354a293cee,2023-04-30 11:25:09,2023-04-30,2023-04-30 03:25:09 UTC,Kuala Lumpur,6698809,hazirah__,Nurul Hazirah Amni Nakmat,2023-04-30 15:11:32 UTC,2023-04-30 15:12:11 UTC,needs_id,,https://www.inaturalist.org/observations/158124156,https://static.inaturalist.org/photos/273314196/medium.jpeg,,"",,0,0,false,2,Malaysia,2.3999052972,102.2039322725,226,,,,31438,,obscured,true,gps,gps,Koompassia malaccensis,Koompassia malaccensis,,Plantae,347832
163598694,981a578a-e275-4f53-82f4-ffd4bbdc363f,2023-05-25 12:04:44,2023-05-25,2023-05-25 04:04:44 UTC,Kuala Lumpur,6843967,nik_faizu,Nik Faizu Nik Hassan,2023-05-25 04:06:06 UTC,2023-05-25 04:06:23 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/163598694,https://inaturalist-open-data.s3.amazonaws.com/photos/282976920/medium.jpeg,,"",,0,0,false,2,Malaysia,2.86408499,101.6234585922,5,,,,31431,,obscured,true,,,Koompassia malaccensis,Koompassia malaccensis,,Plantae,347832
165688113,20997642-8e0c-4492-8924-cea633fbd629,2023/05/27 3:21 PM,2023-05-27,2023-05-27 07:21:00 UTC,Singapore,407358,biometrio,Biometrio Earth,2023-06-05 09:38:13 UTC,2023-06-05 09:38:13 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/165688113,https://inaturalist-open-data.s3.amazonaws.com/photos/286839193/medium.jpg,,"",,0,0,false,,,1.2350182274,103.9449892071,,,,,31447,,obscured,true,,,Koompassia malaccensis,Koompassia malaccensis,,Plantae,347832
168033491,1ab7a1b1-5eac-42ab-b0ca-54b9bcc7c4d8,2023-06-18 10:43:29,2023-06-18,2023-06-18 02:43:29 UTC,Kuala Lumpur,5087501,akmal_idham,Akmal Idham,2023-06-18 06:30:44 UTC,2023-06-18 06:31:25 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/168033491,https://inaturalist-open-data.s3.amazonaws.com/photos/291163105/medium.jpeg,,"",,0,0,false,2,"Selangor, MY",3.0247214568,101.5373538908,,,,,31428,,obscured,true,gps,gps,Koompassia malaccensis,Koompassia malaccensis,,Plantae,347832
176387136,33a954f4-4172-4cb1-b544-7fd93c747d85,2023-03-10 17:38:11+08:00,2023-03-10,2023-03-10 09:38:11 UTC,Singapore,4342448,gadaboss,Anthony J. Gadzi,2023-08-03 04:49:12 UTC,2023-08-03 15:33:15 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/176387136,https://inaturalist-open-data.s3.amazonaws.com/photos/306657144/medium.jpg,,"","",1,0,false,3,,1.2109540348,103.7859252253,3,,,,31447,,obscured,true,,,Koompassia malaccensis,Koompassia malaccensis,,Plantae,347832
184350359,5880fe04-1794-4385-86da-1b2a755ee79d,2023/09/22 9:30 AM,2023-09-22,2023-09-22 01:30:00 UTC,Singapore,1215824,pizzamurderer,Pizzas fear me,2023-09-22 02:55:26 UTC,2024-11-07 09:13:21 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/184350359,https://inaturalist-open-data.s3.amazonaws.com/photos/321782017/medium.jpeg,,"",,2,0,false,,,1.259602635,103.9289347138,1565,,,,31447,,obscured,true,,,Koompassia malaccensis,Koompassia malaccensis,,Plantae,347832
