id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
8540079,063f8e5c-8aa4-46c0-90b0-4444cf83a488,2017/10/05 2:38 PM CST,2017-10-05,2017-10-05 19:38:00 UTC,Central Time (US & Canada),386262,kinmatsu,Kinmatsu Lin,2017-10-25 03:32:43 UTC,2023-01-25 00:46:45 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8540079,https://inaturalist-open-data.s3.amazonaws.com/photos/11408493/medium.jpg,,palm,,2,0,false,,"93050 Kuching, Sarawak, 馬來西亞",1.612769,110.196905,212,,,,212,,,false,,,Licuala orbicularis,Licuala orbicularis,,Plantae,365577
34152362,f76b7ff5-e1b6-4774-ab0f-7591a36b73cd,2019/09/29 10:07 AM HKT,2019-09-29,2019-09-29 02:07:00 UTC,Hong Kong,37171,wkcheng71,WK Cheng,2019-10-10 08:29:21 UTC,2019-10-20 00:23:36 UTC,research,,https://www.inaturalist.org/observations/34152362,https://static.inaturalist.org/photos/53712886/medium.jpg,,"","",1,0,false,,"Sarawak, MY",1.7101221489,110.1381701764,1000,,,,31444,obscured,,true,,,Licuala orbicularis,Licuala orbicularis,,Plantae,365577
36634284,6af72d28-d7d8-4494-b4d3-6e1d371138a5,2010/10/25 9:31 AM +0800,2010-10-25,2010-10-25 01:31:00 UTC,Kuala Lumpur,1829749,cclborneo,Chien Lee,2019-12-14 03:25:01 UTC,2019-12-14 04:05:04 UTC,research,,https://www.inaturalist.org/observations/36634284,https://static.inaturalist.org/photos/57933395/medium.jpg,,"Arecales, Borneo, East Malaysia, Liliopsida, Malaysia, Palmae, Sarawak, Southeast Asia, flora, monocot, monocotyledon, palm, plant, tropical","",1,0,false,,"93050 Kuching, Sarawak, Malaysia",1.612769,110.196905,210,,,,210,,,false,,,Licuala orbicularis,Licuala orbicularis,,Plantae,365577
39243469,e87ac014-4ad1-4acb-b992-7dcbbf87e542,2017/07/18 4:53 PM CST,2017-07-18,2017-07-18 08:53:00 UTC,Taipei,1646783,chenshu,Chen Shu,2020-02-26 15:44:02 UTC,2023-12-08 13:29:52 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/39243469,https://inaturalist-open-data.s3.amazonaws.com/photos/62235322/medium.jpeg,,"","",2,0,false,,"Kuching, MY-SK, MY",1.6126526224,110.1969371865,96,,,,96,,,false,,,Licuala orbicularis,Licuala orbicularis,,Plantae,365577
41473632,aed5a8f9-06f5-47c9-a2be-34409d07f54b,Mon Mar 09 2020 03:40:32 GMT+0200 (GMT+2),2020-03-09,2020-03-09 01:40:32 UTC,Africa/Johannesburg,2715471,tinusoberholzer,Tinus Oberholzer,2020-04-05 20:04:35 UTC,2020-05-06 08:16:55 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/41473632,https://inaturalist-open-data.s3.amazonaws.com/photos/65794722/medium.jpg,,"",,1,0,false,3,"Kuching, Sarawak, MY",1.6124984063,110.195039055,75,,,,75,,,false,,,Licuala orbicularis,Licuala orbicularis,,Plantae,365577
109206656,23d4e524-f2e1-49ce-b073-c8802fe6f881,1998/07/28 6:49 PM NZST,1998-07-28,1998-07-28 06:49:00 UTC,Auckland,355160,barbaraparris,Barbara Parris,2022-03-22 05:52:18 UTC,2023-12-10 06:53:13 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/109206656,https://inaturalist-open-data.s3.amazonaws.com/photos/184017097/medium.png,,"",,1,0,false,,"Petra Jaya, Kuching, Sarawak, Malaysia",1.5879748485,110.1947818417,244,,,,244,,,false,,,Licuala orbicularis,Licuala orbicularis,,Plantae,365577
120921040,03bcd301-3859-4685-b687-8f5367903353,2017-02-17 13:28:03+08:00,2017-02-17,2017-02-17 05:28:03 UTC,Asia/Kuching,5768090,chew_on_my_cholla,,2022-06-09 05:54:30 UTC,2022-06-13 08:30:49 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/120921040,https://inaturalist-open-data.s3.amazonaws.com/photos/204573607/medium.jpg,,"","",1,0,false,3,"Borneo, Kuching, Sarawak, MY",1.5895573652,110.1865649396,3374,,,,3374,,,false,,,Licuala orbicularis,Licuala orbicularis,,Plantae,365577
157075729,450dbe26-1ecc-4e2e-a99b-b4a15dadcfc4,2023-04-28 16:05:17,2023-04-28,2023-04-28 10:35:17 UTC,New Delhi,3669325,meenarupa_arjunan,Meenarupa Arjunan,2023-04-28 11:34:15 UTC,2023-04-28 11:34:35 UTC,needs_id,,https://www.inaturalist.org/observations/157075729,https://static.inaturalist.org/photos/271642082/medium.jpeg,,"",,0,0,false,2,"RJPM Avarampatti, Rajapalayam, Tamil Nadu, India",9.457155,77.5539208997,,,,,,,,false,gps,gps,Licuala orbicularis,Licuala orbicularis,,Plantae,365577
183657320,bf44d7d2-e10d-4258-9f9a-af6a664d3bb5,2023-09-11 19:00:10+08:00,2023-09-11,2023-09-11 11:00:10 UTC,Kuala Lumpur,6936275,azlinaminuddin,,2023-09-17 13:00:08 UTC,2023-11-05 14:54:18 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/183657320,https://inaturalist-open-data.s3.amazonaws.com/photos/320452432/medium.jpg,,"","",0,0,false,3,"Taman Saujana Hijau, Putrajaya, Putrajaya, MY",2.9620216667,101.6769333333,4,,,,4,,,false,,,Licuala orbicularis,Licuala orbicularis,,Plantae,365577
189942621,c213c2ee-ce0d-4f96-acf1-f39b357d9bed,2023-10-13 15:19:38,2023-10-13,2023-10-13 07:19:38 UTC,Asia/Kuching,2376854,cynthia_c,Cynthia Chan,2023-11-04 11:40:45 UTC,2023-11-10 03:46:44 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/189942621,https://inaturalist-open-data.s3.amazonaws.com/photos/332863042/medium.jpeg,,"",,1,0,false,2,"Petra Jaya, Kuching, Sarawak, Malaysia",1.6119861111,110.1925416667,,,,,,,,false,gps,gps,Licuala orbicularis,Licuala orbicularis,,Plantae,365577
