id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
559288,c89130aa-da69-40bd-a0c2-aec12d655662,"July 01, 2013 08:44",2013-07-01,2013-07-01 00:44:00 UTC,Singapore,31576,techieoldfox,Jonathan Hiew,2014-03-09 04:24:49 UTC,2019-08-09 09:33:48 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/559288,https://inaturalist-open-data.s3.amazonaws.com/photos/712448/medium.jpg,,"","Red Teruntum, Teruntum Merah, Lumnitzera littorea",1,0,false,,Singapore,1.266481,103.805989,,,,,,,open,false,,"",black mangrove,Lumnitzera littorea,black mangrove,Plantae,196656
559529,7f588977-fe85-4c34-a333-690fe7adba35,"July 01, 2013 08:45",2013-07-01,2013-07-01 00:45:00 UTC,Singapore,31576,techieoldfox,Jonathan Hiew,2014-03-09 12:09:28 UTC,2019-08-09 09:34:01 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/559529,https://inaturalist-open-data.s3.amazonaws.com/photos/712769/medium.jpg,,"","Red Teruntum, Teruntum Merah, Lumnitzera littorea",1,0,false,,Singapore,1.266458,103.805989,,,,,,,open,false,,"",black mangrove,Lumnitzera littorea,black mangrove,Plantae,196656
567393,ed11ae3a-5b48-4e3c-8219-63ab1f9667cc,"October 30, 2013 13:33",2013-10-30,2013-10-30 05:33:00 UTC,Singapore,31576,techieoldfox,Jonathan Hiew,2014-03-14 06:38:55 UTC,2022-06-26 03:57:44 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/567393,https://inaturalist-open-data.s3.amazonaws.com/photos/721232/medium.JPG,,"","Teruntum Merah, Lumnitzera littorea",2,0,false,,Singapore,1.283662,103.862129,,,,,,,open,false,,"",black mangrove,Lumnitzera littorea,black mangrove,Plantae,196656
687330,6ddf14bd-2a74-4f19-add7-f887dc2f35d0,"May 19, 2014 08:43",2014-05-19,2014-05-19 00:43:00 UTC,Singapore,31576,techieoldfox,Jonathan Hiew,2014-05-20 04:34:05 UTC,2019-08-09 09:37:21 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/687330,https://inaturalist-open-data.s3.amazonaws.com/photos/864201/medium.JPG,,"","Teruntum Merah, Lumnitzera littorea",1,0,false,,Singapore,1.268667,103.803787,,,,,,,open,false,,"",black mangrove,Lumnitzera littorea,black mangrove,Plantae,196656
765573,d85bd406-38fd-4289-ae25-0a75a3416ec9,"July 01, 2014 08:53",2014-07-01,2014-07-01 00:53:00 UTC,Singapore,31576,techieoldfox,Jonathan Hiew,2014-07-03 02:36:15 UTC,2019-08-09 09:37:38 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/765573,https://inaturalist-open-data.s3.amazonaws.com/photos/962702/medium.JPG,,"","Teruntum Merah, Lumnitzera littorea",1,0,false,,Singapore,1.268946,103.803802,,,,,,,open,false,,"",black mangrove,Lumnitzera littorea,black mangrove,Plantae,196656
3370044,384117e4-cb44-480c-94ed-e270c0a15627,2016-06-01 2:49:13 p.m. GMT+08:00,2016-06-01,2016-06-01 06:49:13 UTC,Australia/Perth,252654,amirul,Amirul Aiman Ahmad,2016-06-03 09:10:27 UTC,2019-08-09 09:37:55 UTC,research,,http://www.inaturalist.org/observations/3370044,https://static.inaturalist.org/photos/3890787/medium.jpeg,,"",,2,0,false,2,Kerteh Terengganu,4.4778972644,103.4244393557,66042,,,,66042,,open,false,gps,gps,black mangrove,Lumnitzera littorea,black mangrove,Plantae,196656
8505194,7dc2e7b1-bd07-405a-a243-d705bc82f2a1,2017/10/22 3:29 PM +08,2017-10-22,2017-10-22 07:29:00 UTC,Singapore,45181,budak,budak,2017-10-22 16:01:29 UTC,2019-08-09 09:38:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8505194,https://inaturalist-open-data.s3.amazonaws.com/photos/11349225/medium.jpg,,"",,2,0,false,,"Pasir Ris Central, Singapore 510534",1.3760266405,103.9522450963,215,,,,215,,open,false,,,black mangrove,Lumnitzera littorea,black mangrove,Plantae,196656
9121120,dbcc04ba-dad7-47b9-bccf-57c92dd5178a,2017-12-11 8:48:22 AM GMT+07:00,2017-12-11,2017-12-11 01:48:22 UTC,Bangkok,728680,luksika,Luksika Chaiya,2017-12-11 05:53:33 UTC,2017-12-12 12:56:00 UTC,research,,https://www.inaturalist.org/observations/9121120,https://static.inaturalist.org/photos/12324601/medium.jpeg,,"",,2,0,false,2,"Unnamed Road, Tambon Khlong Khut, Amphoe Tha Mai, Chang Wat Chanthaburi 22120, Thailand",12.5718828337,101.9008458126,20,,,,20,,,false,,,black mangrove,Lumnitzera littorea,black mangrove,Plantae,196656
9200804,dabeff1c-c9b3-4d91-8a45-66dd9dafd7c6,2017-12-11 9:27:41 AM GMT+07:00,2017-12-11,2017-12-11 02:27:41 UTC,Bangkok,728656,_sl_tleza,KT Tleza,2017-12-19 15:10:30 UTC,2021-05-18 11:05:11 UTC,research,,https://www.inaturalist.org/observations/9200804,https://static.inaturalist.org/photos/12456203/medium.jpeg,,"",,2,0,false,2,"Tha Mai, TH-CT, TH",12.5719803572,101.9009131193,30,,,,30,,open,false,,,black mangrove,Lumnitzera littorea,black mangrove,Plantae,196656
10288807,532dcf18-66fd-4a16-b957-e1a1cece07d1,2018-03-18 10:38:57 AM SGT,2018-03-18,2018-03-18 02:38:57 UTC,Singapore,44170,gancw1,Cheongweei Gan,2018-03-18 11:32:55 UTC,2019-08-09 09:38:29 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10288807,https://inaturalist-open-data.s3.amazonaws.com/photos/14246820/medium.jpeg,,"",,3,0,false,2,"12 Port Rd, Singapore",1.2647222281,103.805557251,,,,,,,open,false,gps,gps,black mangrove,Lumnitzera littorea,black mangrove,Plantae,196656
