id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
424697,27328328-99c7-46b7-8391-37ab541e85c2,2013-09-06 19:58:30,2013-09-06,2013-09-07 02:58:30 UTC,Pacific Time (US & Canada),477,loarie,Scott Loarie,2013-10-10 22:43:25 UTC,2020-01-15 23:47:43 UTC,research,CC0,http://www.inaturalist.org/observations/424697,https://inaturalist-open-data.s3.amazonaws.com/photos/535164/medium.jpg,,"","",2,0,false,,"Denpasar, Bali, ID",-8.711953,115.250959,803,,,,803,,,false,,manual,apple mangrove,Sonneratia caseolaris,apple mangrove,Plantae,196662
548659,41a61e4b-3084-473a-9df1-4a5967ed4097,"January 28, 2014 09:03",2014-01-28,2014-01-28 01:03:00 UTC,Singapore,31576,techieoldfox,Jonathan Hiew,2014-03-02 07:06:30 UTC,2025-04-01 19:46:56 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/548659,https://inaturalist-open-data.s3.amazonaws.com/photos/700408/medium.jpg,,"","Mangrove Apple, Sonneratia caseolaris",1,0,false,,Singapore,1.278964,103.798567,,,,,,,open,false,,"",apple mangrove,Sonneratia caseolaris,apple mangrove,Plantae,196662
625862,28632af4-9645-4364-a389-7549223f0a1e,2014-04-13,2014-04-13,,Jakarta,32016,tabristabarsi,Tabris Tabarsi,2014-04-15 15:23:57 UTC,2025-05-05 17:40:02 UTC,needs_id,,http://www.inaturalist.org/observations/625862,https://inaturalist-open-data.s3.amazonaws.com/photos/787437/medium.JPG,,"","Mangrove plant, on tidal swamp area. Sonneratia alba or S. caseolaris?",2,0,false,,Padang,-0.95,100.353056,34066,,,,34066,,open,false,,,Sonneratia,Sonneratia caseolaris,apple mangrove,Plantae,196662
4985275,7dfb3bd9-433d-4347-9cb8-bd6aed4df03c,2013/10/01 3:21 PM CEST,2013-10-01,2013-10-01 13:21:00 UTC,Paris,269845,jaro,Jaro Guzinski,2017-01-21 22:55:38 UTC,2025-06-10 01:06:23 UTC,research,CC-BY,https://www.inaturalist.org/observations/4985275,https://inaturalist-open-data.s3.amazonaws.com/photos/6089373/medium.jpeg,,"",,1,0,false,,"Mangrove Nature Reserve, Nanshan, Guangdong, China",22.519918,113.971283,,,,,,,,false,,,apple mangrove,Sonneratia caseolaris,apple mangrove,Plantae,196662
7274845,fd301fbf-b147-41cf-85f1-0e42a7543d03,2017/07/30 10:10 AM AKDT,2017-07-30,2017-07-30 18:10:00 UTC,Alaska,186163,jasonrgrant,Jason Grant,2017-07-30 10:35:48 UTC,2017-08-03 03:22:04 UTC,research,CC-BY,https://www.inaturalist.org/observations/7274845,https://inaturalist-open-data.s3.amazonaws.com/photos/9405549/medium.jpg,,"",,1,0,false,,"Shenzhen, Guangdong, China",22.5253944444,113.9986416667,,,,,,,,false,,,apple mangrove,Sonneratia caseolaris,apple mangrove,Plantae,196662
7274846,5cdbff7f-28a7-4432-9ef7-b1f063fb2afe,2017/07/30 10:10 AM AKDT,2017-07-30,2017-07-30 18:10:00 UTC,Alaska,186163,jasonrgrant,Jason Grant,2017-07-30 10:35:48 UTC,2019-01-20 12:10:12 UTC,needs_id,CC-BY,https://www.inaturalist.org/observations/7274846,https://inaturalist-open-data.s3.amazonaws.com/photos/9405551/medium.jpeg,,"",,1,1,false,,"Shenzhen, Guangdong, China",22.5253805556,113.9986638889,,,,,,,,false,,,apple mangrove,Sonneratia caseolaris,apple mangrove,Plantae,196662
8749901,4b746eb5-d41d-43e4-bdc8-2f5ec9b75714,2015-09-06 15:49:03,2015-09-06,2015-09-06 07:49:03 UTC,Singapore,687403,chengailim,"",2017-11-10 14:06:36 UTC,2025-04-02 00:02:53 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/8749901,https://inaturalist-open-data.s3.amazonaws.com/photos/11746766/medium.jpeg,,"","",1,0,false,,hort park,1.278922,103.801442,,,,,,,open,false,,,apple mangrove,Sonneratia caseolaris,apple mangrove,Plantae,196662
10566171,1b4bb5e2-ff06-438a-83eb-d6f594167ae3,2018/04/02 1:13 PM +07,2018-04-02,2018-04-02 06:13:00 UTC,Bangkok,614054,birdexplorers,Bird Explorers,2018-04-02 08:33:41 UTC,2018-04-09 20:25:06 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/10566171,https://inaturalist-open-data.s3.amazonaws.com/photos/14721755/medium.jpg,,"",Common estuarine mangrove around Port Vila.,1,0,false,,"Port Vila, Vanuatu",-17.7395194444,168.3258861111,,,,,,,,false,,,apple mangrove,Sonneratia caseolaris,apple mangrove,Plantae,196662
10962031,5833f4e5-c475-4a6e-8dfa-eb5c873e7eb6,2017/12/28 1:45 PM EST,2017-12-28,2017-12-28 18:45:00 UTC,Eastern Time (US & Canada),83313,kristofz,Kristof Zyskowski,2018-04-15 14:06:13 UTC,2022-01-02 18:47:12 UTC,research,CC-BY,https://www.inaturalist.org/observations/10962031,https://inaturalist-open-data.s3.amazonaws.com/photos/15426161/medium.jpg,,"",,1,0,false,,"Muara Angke, Jakarta, Java, Indonesia",-6.1133193416,106.7673117617,20,,,,20,,open,false,,,apple mangrove,Sonneratia caseolaris,apple mangrove,Plantae,196662
11576581,b6459efd-a6cb-41a6-8007-947f3ef813b8,Sat Apr 28 2018 11:58:20 GMT+0800 (GMT+8),2018-04-28,2018-04-28 03:58:20 UTC,Perth,853340,yuet71,"",2018-04-28 03:58:33 UTC,2025-05-24 17:03:03 UTC,research,,https://www.inaturalist.org/observations/11576581,https://static.inaturalist.org/photos/16535033/medium.jpg,,"",,1,0,false,3,"Yim Tin Tsai, , 香港, HK",22.3767672898,114.3022160513,5,,,,5,,open,false,,,海桑,Sonneratia caseolaris,apple mangrove,Plantae,196662
