id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
18843247,07f00af9-d411-4122-83c4-99efe8b9033d,Wed Dec 05 2018 22:13:58 GMT+0700 (GMT+7),2018-12-05,2018-12-05 15:13:58 UTC,Bangkok,1213048,passcuppp,passcupp p,2018-12-05 15:15:07 UTC,2018-12-05 15:15:18 UTC,needs_id,,https://www.inaturalist.org/observations/18843247,https://static.inaturalist.org/photos/28866287/medium.jpg,,"",,0,0,false,3,"Thanon Kaenpracharak, Khon Kaen, Khon Kaen, TH",16.4767846662,102.8319231568,12,,,,12,,,false,,,,Dipterocarpus oblongifolius,Neram Tree,Plantae,191655
21077289,12f5a736-dd23-4877-bd6b-3bd3a716d3f1,Tue Mar 05 2019 10:38:22 GMT+0800 (GMT+8),2019-03-05,2019-03-05 02:38:22 UTC,Perth,1330849,gius_ink,,2019-03-09 11:48:12 UTC,2025-08-30 20:57:40 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/21077289,https://inaturalist-open-data.s3.amazonaws.com/photos/32569255/medium.jpg,,"",,0,0,false,3,"27000, Tembeling, Stato di Pahang, MY",4.4234616667,102.3930883333,16,,,,16,,open,false,,,Dipterocarpus oblongifolius,Dipterocarpus oblongifolius,Neram Tree,Plantae,191655
22602011,3d7853fa-8e7d-4c67-80ce-cfb3a99f34d6,2019/03/01 2:44 PM CST,2019-03-01,2019-03-01 06:44:00 UTC,Taipei,386262,kinmatsu,Kinmatsu Lin,2019-04-17 12:22:23 UTC,2023-01-18 10:14:14 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/22602011,https://inaturalist-open-data.s3.amazonaws.com/photos/35019575/medium.jpg,,"",,1,0,false,,馬來西亞砂拉越美里省,3.4242013153,115.1018557317,200,,,,200,,open,false,,,Dipterocarpus oblongifolius,Dipterocarpus oblongifolius,Neram Tree,Plantae,191655
23044310,bc65fefd-faba-4ec0-b42f-e9883d682079,2019/03/02 12:18 PM CST,2019-03-02,2019-03-02 04:18:00 UTC,Taipei,386262,kinmatsu,Kinmatsu Lin,2019-04-25 11:23:49 UTC,2023-01-18 10:14:14 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/23044310,https://inaturalist-open-data.s3.amazonaws.com/photos/35725837/medium.jpg,,"",,1,0,false,,馬來西亞砂拉越美里省,3.4135772521,115.1163611181,200,,,,200,,open,false,,,Neram Tree,Dipterocarpus oblongifolius,Neram Tree,Plantae,191655
23044311,a6ddd58e-a051-4619-9044-b00f5209bfd3,2019/03/02 10:45 AM CST,2019-03-02,2019-03-02 02:45:00 UTC,Taipei,386262,kinmatsu,Kinmatsu Lin,2019-04-25 11:23:49 UTC,2023-01-18 10:14:14 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/23044311,https://inaturalist-open-data.s3.amazonaws.com/photos/35725840/medium.jpg,,"",,1,0,false,,馬來西亞砂拉越美里省,3.424544025,115.0993237264,200,,,,200,,open,false,,,Dipterocarpus oblongifolius,Dipterocarpus oblongifolius,Neram Tree,Plantae,191655
24487723,6e16b1cf-5c11-487b-b13a-ca55a0ee5925,2019/04/29 6:33 PM +0800,2019-04-29,2019-04-29 10:33:00 UTC,Kuala Lumpur,698060,krentan,Kai Ren,2019-05-04 03:04:47 UTC,2019-05-05 07:57:20 UTC,research,,https://www.inaturalist.org/observations/24487723,https://static.inaturalist.org/photos/37864895/medium.jpg,,"",,1,0,false,,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1194239147,101.6580884424,147,,,,147,,open,false,,,Dipterocarpus oblongifolius,Dipterocarpus oblongifolius,Neram Tree,Plantae,191655
24487724,3b39441e-ae8a-4d9f-a785-538f870010a3,2019/04/29 6:33 PM +0800,2019-04-29,2019-04-29 10:33:00 UTC,Kuala Lumpur,698060,krentan,Kai Ren,2019-05-04 03:04:48 UTC,2019-05-05 07:57:15 UTC,research,,https://www.inaturalist.org/observations/24487724,https://static.inaturalist.org/photos/37864904/medium.jpg,,"",,1,0,false,,"Kuala Lumpur, Federal Territory of Kuala Lumpur, Malaysia",3.1194239147,101.6580884424,147,,,,147,,open,false,,,Dipterocarpus oblongifolius,Dipterocarpus oblongifolius,Neram Tree,Plantae,191655
24678006,d7e0b823-b366-4f43-947e-05d4c48bf625,2019/04/28 5:20 PM +08,2019-04-28,2019-04-28 09:20:00 UTC,Kuala Lumpur,670650,tansh91,"",2019-05-06 17:54:26 UTC,2019-05-06 17:57:22 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/24678006,https://inaturalist-open-data.s3.amazonaws.com/photos/38160932/medium.jpeg,,"",,1,0,false,,"Presint 1, 62000 Putrajaya, Malaysia",2.9450673107,101.6952155214,254,,,,254,,open,false,,,Dipterocarpus oblongifolius,Dipterocarpus oblongifolius,Neram Tree,Plantae,191655
31836297,87a81dd3-82ee-41e8-970d-80966ef4fdd1,2019/08/18 4:38 PM +0800,2019-08-18,2019-08-18 08:38:00 UTC,Kuala Lumpur,670650,tansh91,"",2019-08-31 08:35:00 UTC,2019-08-31 08:35:00 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/31836297,https://inaturalist-open-data.s3.amazonaws.com/photos/49870039/medium.jpeg,,"",,0,0,false,,"Terengganu, Malaysia",5.2209796224,102.8141282106,2537,,,,2537,,open,false,,,Dipterocarpus oblongifolius,Dipterocarpus oblongifolius,Neram Tree,Plantae,191655
31836298,11a5e204-c8c7-42ea-ba48-1562b990e12e,2019/08/18 4:38 PM +0800,2019-08-18,2019-08-18 08:38:00 UTC,Kuala Lumpur,670650,tansh91,"",2019-08-31 08:35:00 UTC,2019-08-31 08:35:00 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/31836298,https://inaturalist-open-data.s3.amazonaws.com/photos/49870041/medium.jpeg,,"",,0,0,false,,"Terengganu, Malaysia",5.2209796224,102.8141282106,2537,,,,2537,,open,false,,,Dipterocarpus oblongifolius,Dipterocarpus oblongifolius,Neram Tree,Plantae,191655
