id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
38844,89471f8d-e0c2-4ee1-be80-9319a040208f,2011-11-06,2011-11-06,,Hong Kong,3626,death327,Kent Yee,2011-11-12 17:31:18 UTC,2023-05-18 03:01:49 UTC,research,,http://www.inaturalist.org/observations/38844,https://static.inaturalist.org/photos/64688/medium.jpg,,"",... Rafflesia speciosa,2,0,false,,"Igbaras, Iloilo",10.7346575823,122.153377533,,,,,,,,false,,,Rafflesia speciosa,Rafflesia speciosa,,Plantae,120861
465224,f67acab2-d2c9-4899-b048-692c539d80a2,2013-08-14 18:33:10,2013-08-14,2013-08-15 01:33:10 UTC,Pacific Time (US & Canada),3494,damontighe,Damon Tighe,2013-11-23 00:29:10 UTC,2024-10-24 09:00:14 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/465224,https://static.inaturalist.org/photos/586803/medium.jpg,,"","Rafflesia keithii &quot;corpse flower&quot; near Poring hot springs, Sabah, Borneo, Malaysia",2,0,false,,"Poring, Sabah, Malaysia",6.040486,116.703597,,,,,,,,false,,"",Rafflesia keithii,Rafflesia keithii,,Plantae,337567
1261763,c727d356-a98c-4f03-8a63-f73fb06629ce,1997-08-18,1997-08-18,,Central Time (US & Canada),8007,ruminatus,Chuck Cannon,2015-02-28 05:33:07 UTC,2023-04-19 05:20:14 UTC,needs_id,CC-BY,http://www.inaturalist.org/observations/1261763,https://static.inaturalist.org/photos/1584058/medium.jpg,,"","",4,0,false,,"Tambunan, MY-SA, MY",5.775526,116.346245,264,,,,264,,,false,,,rafflesia flowers,Rafflesia,rafflesia flowers,Plantae,120860
2663901,e7cc0221-ec4e-4e12-a5ce-08e203160ede,2016-01-23,2016-01-23,,Kuala Lumpur,80994,julius_gallego,Julius,2016-02-10 05:56:36 UTC,2023-05-18 03:02:12 UTC,research,CC-BY-NC-SA,http://www.inaturalist.org/observations/2663901,https://inaturalist-open-data.s3.amazonaws.com/photos/2994194/medium.jpg,,"",One of the rare species of Rafflesia that can be found and endemic of panay island Philippines. Rafflesia speciosa.,4,0,false,,mt.Napulak,10.768176,122.198181,,,,,,,,false,,,Rafflesia speciosa,Rafflesia speciosa,,Plantae,120861
2696444,876ebd73-0ce8-4655-9cad-d0c3e9d5fe65,2004-07-31,2004-07-31,,Paris,173306,zanskar,David Renoult,2016-02-19 10:05:58 UTC,2025-09-28 09:44:30 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2696444,https://inaturalist-open-data.s3.amazonaws.com/photos/3035040/medium.JPG,,"",,8,0,false,,"Sumatera Barat, ID",-0.331175429,100.3976145451,132,,,,31451,,obscured,true,,,Rafflesia arnoldii,Rafflesia arnoldii,Arnold's rafflesia,Plantae,337568
2696445,40db5c2d-26bb-4381-af89-5d6fdfa818c9,2004-07-11,2004-07-11,,Paris,173306,zanskar,David Renoult,2016-02-19 10:07:11 UTC,2025-07-09 20:46:01 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/2696445,https://inaturalist-open-data.s3.amazonaws.com/photos/3035041/medium.JPG,,"",,3,0,false,,Pangandaran,-7.709971,108.654871,526,,,,526,,,false,,,Rafflesia horsfieldii,Rafflesia horsfieldii,,Plantae,866726
4362606,9fce23ef-457e-44de-ab06-5105f6a32868,2005/01/01 ,2005-01-01,,Rome,176411,riccardosarziamade,"",2016-10-15 14:56:58 UTC,2024-08-22 03:44:25 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/4362606,https://inaturalist-open-data.s3.amazonaws.com/photos/5225926/medium.jpeg,,"","fiore protetto, nella foresta pluviale


ore: 12.00


esemplare: unico


osservatrice: rinamarchini",5,1,false,,,0.8484349298,114.4903265725,854153,,,,854153,,obscured,true,,,Rafflesia arnoldii,Rafflesia arnoldii,Arnold's rafflesia,Plantae,337568
5536242,6f0401ef-073c-44ab-b8f7-9b671f06eb77,2013/10/14 4:51 PM HST,2013-10-14,2013-10-15 02:51:00 UTC,Hawaii,157435,dwarmitage,Dave Armitage,2017-04-02 02:53:04 UTC,2022-05-06 15:20:34 UTC,research,,https://www.inaturalist.org/observations/5536242,https://static.inaturalist.org/photos/6832759/medium.jpg,,"",,4,0,false,,"Sumatera Barat, ID",-0.2505054546,100.544210913,11881,,,,31451,,obscured,true,,,Rafflesia arnoldii,Rafflesia arnoldii,Arnold's rafflesia,Plantae,337568
6018463,7f350f78-dc7a-418a-a7a3-6d6bb0a11efa,2017-04-29 10:13:57 am GMT+08:00,2017-04-29,2017-04-29 02:13:57 UTC,Perth,94627,amarzee,Amaël Borzée,2017-04-30 03:31:31 UTC,2023-01-17 01:47:07 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/6018463,https://inaturalist-open-data.s3.amazonaws.com/photos/7531172/medium.jpeg,,"",,2,0,false,2,Lundu Sarawak,1.6994444132,109.8380584717,,,,,,,,false,gps,gps,Rafflesia tuan-mudae,Rafflesia tuan-mudae,,Plantae,337570
6838446,e6d0a47b-127d-432a-909f-ff9d3aaee357,2009/02/28 5:44 AM GMT,2009-02-28,2009-02-28 05:44:00 UTC,UTC,493784,mark185,Mark Wright,2017-06-28 20:30:36 UTC,2023-04-19 05:20:27 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/6838446,https://static.inaturalist.org/photos/8709353/medium.jpeg,,"",In forest prior to flower opening,3,0,false,,"Pontianak 2, ID-KB, ID",-0.1073836942,109.4201414326,50444,,,,50444,,obscured,true,,,rafflesia flowers,Rafflesia,rafflesia flowers,Plantae,120860
